Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LDOC1","LDOC1 Regulator Of NFKB Signaling","Protein Coding","O95751","43","GC0XM141111","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDOC1"
"LRR1","Leucine Rich Repeat Protein 1","Protein Coding","Q96L50","43","GC14P049598","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRR1"
"LRRC15","Leucine Rich Repeat Containing 15","Protein Coding","Q8TF66","43","GC03M194357","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC15"
"MED11","Mediator Complex Subunit 11","Protein Coding","Q9P086","43","GC17P004731","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED11"
"MED16","Mediator Complex Subunit 16","Protein Coding","Q9Y2X0","43","GC19M099859","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED16"
"MLXIP","MLX Interacting Protein","Protein Coding","Q9HAP2","43","GC12P122078","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLXIP"
"MOGAT1","Monoacylglycerol O-Acyltransferase 1","Protein Coding","Q96PD6","43","GC02P222671","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOGAT1"
"MPHOSPH10","M-Phase Phosphoprotein 10","Protein Coding","O00566","43","GC02P071130","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPHOSPH10"
"MRPL35","Mitochondrial Ribosomal Protein L35","Protein Coding","Q9NZE8","43","GC02P086199","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL35"
"MRPL51","Mitochondrial Ribosomal Protein L51","Protein Coding","Q4U2R6","43","GC12M006491","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL51"
"MRPL52","Mitochondrial Ribosomal Protein L52","Protein Coding","Q86TS9","43","GC14P022829","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL52"
"MRPS21","Mitochondrial Ribosomal Protein S21","Protein Coding","P82921","43","GC01P170191","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS21"
"NKTR","Natural Killer Cell Triggering Receptor","Protein Coding","P30414","43","GC03P042600","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKTR"
"NOL10","Nucleolar Protein 10","Protein Coding","Q9BSC4","43","GC02M010562","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOL10"
"OTOP2","Otopetrin 2","Protein Coding","Q7RTS6","43","GC17P134566","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTOP2"
"PAQR4","Progestin And AdipoQ Receptor Family Member 4","Protein Coding","Q8N4S7","43","GC16P002969","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAQR4"
"PCID2","PCI Domain Containing 2","Protein Coding","Q5JVF3","43","GC13M113167","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCID2"
"PET117","PET117 Cytochrome C Oxidase Chaperone","Protein Coding","Q6UWS5","43","GC20P018137","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PET117"
"PHACTR4","Phosphatase And Actin Regulator 4","Protein Coding","Q8IZ21","43","GC01P028369","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHACTR4"
"POP5","POP5 Homolog, Ribonuclease P/MRP Subunit","Protein Coding","Q969H6","43","GC12M120578","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POP5"
"RASSF3","Ras Association Domain Family Member 3","Protein Coding","Q86WH2","43","GC12P067075","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF3"
"RPAIN","RPA Interacting Protein","Protein Coding","Q86UA6","43","GC17P005419","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPAIN"
"RPL39","Ribosomal Protein L39","Protein Coding","P62891","43","GC0XM119786","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL39"
"RSPH6A","Radial Spoke Head 6 Homolog A","Protein Coding","Q9H0K4","43","GC19M045795","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSPH6A"
"SBSN","Suprabasin","Protein Coding","Q6UWP8","43","GC19M103838","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBSN"
"SFSWAP","Splicing Factor SWAP","Protein Coding","Q12872","43","GC12P131711","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFSWAP"
"SNAPC3","Small Nuclear RNA Activating Complex Polypeptide 3","Protein Coding","Q92966","43","GC09P015422","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAPC3"
"SNUPN","Snurportin 1","Protein Coding","O95149","43","GC15M075598","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNUPN"
"SRP14","Signal Recognition Particle 14","Protein Coding","P37108","43","GC15M040035","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP14"
"SRP9","Signal Recognition Particle 9","Protein Coding","P49458","43","GC01P225777","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP9"
"TRUB2","TruB Pseudouridine Synthase Family Member 2","Protein Coding","O95900","43","GC09M131040","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRUB2"
"TXNL4B","Thioredoxin Like 4B","Protein Coding","Q9NX01","43","GC16M072044","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNL4B"
"URM1","Ubiquitin Related Modifier 1","Protein Coding","Q9BTM9","43","GC09P128371","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=URM1"
"UTP15","UTP15 Small Subunit Processome Component","Protein Coding","Q8TED0","43","GC05P073565","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTP15"
"WDR3","WD Repeat Domain 3","Protein Coding","Q9UNX4","43","GC01P117929","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR3"
"WDR46","WD Repeat Domain 46","Protein Coding","O15213","43","GC06M033279","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR46"
"WDR70","WD Repeat Domain 70","Protein Coding","Q9NW82","43","GC05P038108","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR70"
"WDR83","WD Repeat Domain 83","Protein Coding","Q9BRX9","43","GC19P012666","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR83"
"WTIP","WT1 Interacting Protein","Protein Coding","A6NIX2","43","GC19P034481","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WTIP"
"ZBTB8OS","Zinc Finger And BTB Domain Containing 8 Opposite Strand","Protein Coding","Q8IWT0","43","GC01M032600","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB8OS"
"ZNF2","Zinc Finger Protein 2","Protein Coding","Q9BSG1","43","GC02P095165","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF2"
"ZNF609","Zinc Finger Protein 609","Protein Coding","O15014","43","GC15P183377","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF609"
"AMY1A","Amylase Alpha 1A","Protein Coding","P0DUB6","42","GC01P103651","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY1A"
"CENPK","Centromere Protein K","Protein Coding","Q9BS16","42","GC05M065553","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPK"
"CENPM","Centromere Protein M","Protein Coding","Q9NSP4","42","GC22M081600","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPM"
"CENPN","Centromere Protein N","Protein Coding","Q96H22","42","GC16P081006","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPN"
"DPH3","Diphthamide Biosynthesis 3","Protein Coding","Q96FX2","42","GC03M016257","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPH3"
"GPATCH8","G-Patch Domain Containing 8","Protein Coding","Q9UKJ3","42","GC17M044395","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPATCH8"
"GPR171","G Protein-Coupled Receptor 171","Protein Coding","O14626","42","GC03M151197","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR171"
"GTF2A2","General Transcription Factor IIA Subunit 2","Protein Coding","P52657","42","GC15M059638","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2A2"
"H2BC4","H2B Clustered Histone 4","Protein Coding","P62807","42","GC06M101379","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC4"
"ITPRIP","Inositol 1,4,5-Trisphosphate Receptor Interacting Protein","Protein Coding","Q8IWB1","42","GC10M104309","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPRIP"
"KIR2DS4","Killer Cell Immunoglobulin Like Receptor, Two Ig Domains And Short Cytoplasmic Tail 4","Protein Coding","P43632","42","GC19P133685","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR2DS4"
"LRRC37A","Leucine Rich Repeat Containing 37A","Protein Coding","A6NMS7","42","GC17P133915","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC37A"
"LTO1","LTO1 Maturation Factor Of ABCE1","Protein Coding","Q8WV07","42","GC11M132987","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTO1"
"MRPL57","Mitochondrial Ribosomal Protein L57","Protein Coding","Q9BQC6","42","GC13P021176","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL57"
"NUP43","Nucleoporin 43","Protein Coding","Q8NFH3","42","GC06M149724","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP43"
"OXSM","3-Oxoacyl-ACP Synthase, Mitochondrial","Protein Coding","Q9NWU1","42","GC03P025782","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXSM"
"PPP1R11","Protein Phosphatase 1 Regulatory Inhibitor Subunit 11","Protein Coding","O60927","42","GC06P156208","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R11"
"RPAP1","RNA Polymerase II Associated Protein 1","Protein Coding","Q9BWH6","42","GC15M041517","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPAP1"
"SNAP47","Synaptosome Associated Protein 47","Protein Coding","Q5SQN1","42","GC01P227730","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAP47"
"SPATS2","Spermatogenesis Associated Serine Rich 2","Protein Coding","Q86XZ4","42","GC12P049366","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATS2"
"TOX4","TOX High Mobility Group Box Family Member 4","Protein Coding","O94842","42","GC14P021476","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOX4"
"TRAPPC5","Trafficking Protein Particle Complex Subunit 5","Protein Coding","Q8IUR0","42","GC19P007680","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC5"
"TRIM43","Tripartite Motif Containing 43","Protein Coding","Q96BQ3","42","GC02P095592","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM43"
"ZRANB2","Zinc Finger RANBP2-Type Containing 2","Protein Coding","O95218","42","GC01M071063","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZRANB2"
"AKIRIN2","Akirin 2","Protein Coding","Q53H80","41","GC06M087674","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKIRIN2"
"ARHGEF40","Rho Guanine Nucleotide Exchange Factor 40","Protein Coding","Q8TER5","41","GC14P051514","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF40"
"ARL6IP5","ADP Ribosylation Factor Like GTPase 6 Interacting Protein 5","Protein Coding","O75915","41","GC03P069084","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6IP5"
"CCDC85B","Coiled-Coil Domain Containing 85B","Protein Coding","Q15834","41","GC11P065890","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC85B"
"CENPL","Centromere Protein L","Protein Coding","Q8N0S6","41","GC01M173799","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPL"
"COMMD8","COMM Domain Containing 8","Protein Coding","Q9NX08","41","GC04M047369","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMMD8"
"CUEDC1","CUE Domain Containing 1","Protein Coding","Q9NWM3","41","GC17M057861","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUEDC1"
"EMC3","ER Membrane Protein Complex Subunit 3","Protein Coding","Q9P0I2","41","GC03M010960","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC3"
"EMC4","ER Membrane Protein Complex Subunit 4","Protein Coding","Q5J8M3","41","GC15P174927","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC4"
"GNL3L","G Protein Nucleolar 3 Like","Protein Coding","Q9NVN8","41","GC0XP059492","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNL3L"
"HAUS4","HAUS Augmin Like Complex Subunit 4","Protein Coding","Q9H6D7","41","GC14M027890","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAUS4"
"HROB","Homologous Recombination Factor With OB-Fold","Protein Coding","Q8N3J3","41","GC17P133823","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HROB"
"INO80E","INO80 Complex Subunit E","Protein Coding","Q8NBZ0","41","GC16P104916","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INO80E"
"ISG20L2","Interferon Stimulated Exonuclease Gene 20 Like 2","Protein Coding","Q9H9L3","41","GC01M165202","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISG20L2"
"LENG8","Leukocyte Receptor Cluster Member 8","Protein Coding","Q96PV6","41","GC19P133665","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LENG8"
"LIN52","Lin-52 DREAM MuvB Core Complex Component","Protein Coding","Q52LA3","41","GC14P074084","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN52"
"LRRC18","Leucine Rich Repeat Containing 18","Protein Coding","Q8N456","41","GC10M048909","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC18"
"LRRC37A3","Leucine Rich Repeat Containing 37 Member A3","Protein Coding","O60309","41","GC17M064854","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC37A3"
"LSM10","LSM10, U7 Small Nuclear RNA Associated","Protein Coding","Q969L4","41","GC01M036391","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM10"
"LSM8","LSM8 Homolog, U6 Small Nuclear RNA Associated","Protein Coding","O95777","41","GC07P118184","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM8"
"MAD2L1BP","MAD2L1 Binding Protein","Protein Coding","Q15013","41","GC06P043629","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAD2L1BP"
"MRPL14","Mitochondrial Ribosomal Protein L14","Protein Coding","Q6P1L8","41","GC06M044113","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL14"
"MRPL4","Mitochondrial Ribosomal Protein L4","Protein Coding","Q9BYD3","41","GC19P010251","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL4"
"MRPS33","Mitochondrial Ribosomal Protein S33","Protein Coding","Q9Y291","41","GC07M141094","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS33"
"MZT1","Mitotic Spindle Organizing Protein 1","Protein Coding","Q08AG7","41","GC13M072708","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MZT1"
"NELFB","Negative Elongation Factor Complex Member B","Protein Coding","Q8WX92","41","GC09P137255","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELFB"
"NRDE2","NRDE-2, Necessary For RNA Interference, Domain Containing","Protein Coding","Q9H7Z3","41","GC14M121996","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRDE2"
"NSMCE1","NSE1 Homolog, SMC5-SMC6 Complex Component","Protein Coding","Q8WV22","41","GC16M027234","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSMCE1"
"PCNX1","Pecanex 1","Protein Coding","Q96RV3","41","GC14P070927","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNX1"
"PET100","PET100 Cytochrome C Oxidase Chaperone","Protein Coding","P0DJ07","41","GC19P132123","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PET100"
"POP7","POP7 Homolog, Ribonuclease P/MRP Subunit","Protein Coding","O75817","41","GC07P100706","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POP7"
"PSMG4","Proteasome Assembly Chaperone 4","Protein Coding","Q5JS54","41","GC06P003231","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMG4"
"RTF2","Replication Termination Factor 2","Protein Coding","Q9BY42","41","GC20P056469","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTF2"
"SH3D19","SH3 Domain Containing 19","Protein Coding","Q5HYK7","41","GC04M151102","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3D19"
"SLC35A4","Solute Carrier Family 35 Member A4","Protein Coding","Q96G79","41","GC05P155463","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35A4"
"SPATA20","Spermatogenesis Associated 20","Protein Coding","Q8TB22","41","GC17P050543","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATA20"
"SPC24","SPC24 Component Of NDC80 Kinetochore Complex","Protein Coding","Q8NBT2","41","GC19M011131","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPC24"
"TAF6L","TATA-Box Binding Protein Associated Factor 6 Like","Protein Coding","Q9Y6J9","41","GC11P062771","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAF6L"
"TANGO6","Transport And Golgi Organization 6 Homolog","Protein Coding","Q9C0B7","41","GC16P068843","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TANGO6"
"TMEM158","Transmembrane Protein 158","Protein Coding","Q8WZ71","41","GC03M045246","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM158"
"TMEM178A","Transmembrane Protein 178A","Protein Coding","Q8NBL3","41","GC02P039664","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM178A"
"TRIM35","Tripartite Motif Containing 35","Protein Coding","Q9UPQ4","41","GC08M027284","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM35"
"TRMT61A","TRNA Methyltransferase 61A","Protein Coding","Q96FX7","41","GC14P103529","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT61A"
"URB1","URB1 Ribosome Biogenesis Homolog","Protein Coding","O60287","41","GC21M032312","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=URB1"
"WASHC1","WASH Complex Subunit 1","Protein Coding","A8K0Z3","41","GC09M000016","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASHC1"
"WDR25","WD Repeat Domain 25","Protein Coding","Q64LD2","41","GC14P118046","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR25"
"YAE1","YAE1 Maturation Factor Of ABCE1","Protein Coding","Q9NRH1","41","GC07P039567","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAE1"
"ZC3H8","Zinc Finger CCCH-Type Containing 8","Protein Coding","Q8N5P1","41","GC02M112211","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3H8"
"ZCRB1","Zinc Finger CCHC-Type And RNA Binding Motif Containing 1","Protein Coding","Q8TBF4","41","GC12M042312","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZCRB1"
"ZNF830","Zinc Finger Protein 830","Protein Coding","Q96NB3","41","GC17P034961","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF830"
"ACTR8","Actin Related Protein 8","Protein Coding","Q9H981","40","GC03M053858","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR8"
"ADAT2","Adenosine Deaminase TRNA Specific 2","Protein Coding","Q7Z6V5","40","GC06M143422","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAT2"
"ANAPC15","Anaphase Promoting Complex Subunit 15","Protein Coding","P60006","40","GC11M072106","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANAPC15"
"ARHGEF39","Rho Guanine Nucleotide Exchange Factor 39","Protein Coding","Q8N4T4","40","GC09M035658","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF39"
"ARRDC2","Arrestin Domain Containing 2","Protein Coding","Q8TBH0","40","GC19P132612","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRDC2"
"BTBD2","BTB Domain Containing 2","Protein Coding","Q9BX70","40","GC19M001985","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTBD2"
"CENATAC","Centrosomal AT-AC Splicing Factor","Protein Coding","Q86UT8","40","GC11P123552","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENATAC"
"CWC22","CWC22 Spliceosome Associated Protein Homolog","Protein Coding","Q9HCG8","40","GC02M179944","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWC22"
"EMC2","ER Membrane Protein Complex Subunit 2","Protein Coding","Q15006","40","GC08P108443","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC2"
"EMC6","ER Membrane Protein Complex Subunit 6","Protein Coding","Q9BV81","40","GC17P003668","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC6"
"EMC7","ER Membrane Protein Complex Subunit 7","Protein Coding","Q9NPA0","40","GC15M034084","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC7"
"FBXL12","F-Box And Leucine Rich Repeat Protein 12","Protein Coding","Q9NXK8","40","GC19M009810","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL12"
"GPATCH4","G-Patch Domain Containing 4 (Gene/Pseudogene)","Protein Coding","Q5T3I0","40","GC01M165186","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPATCH4"
"KIAA1671","KIAA1671","Protein Coding","Q9BY89","40","GC22P081100","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA1671"
"KTI12","KTI12 Chromatin Associated Homolog","Protein Coding","Q96EK9","40","GC01M052032","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KTI12"
"MCMBP","Minichromosome Maintenance Complex Binding Protein","Protein Coding","Q9BTE3","40","GC10M119829","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCMBP"
"MEIOC","Meiosis Specific With Coiled-Coil Domain","Protein Coding","A2RUB1","40","GC17P133851","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEIOC"
"MIS18A","MIS18 Kinetochore Protein A","Protein Coding","Q9NYP9","40","GC21M032154","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIS18A"
"MRPL17","Mitochondrial Ribosomal Protein L17","Protein Coding","Q9NRX2","40","GC11M006680","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL17"
"NBPF15","NBPF Member 15","Protein Coding","Q8N660","40","GC01M144421","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBPF15"
"NR2C2AP","Nuclear Receptor 2C2 Associated Protein","Protein Coding","Q86WQ0","40","GC19M019201","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2C2AP"
"NSL1","NSL1 Component Of MIS12 Kinetochore Complex","Protein Coding","Q96IY1","40","GC01M212726","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSL1"
"OXCT2","3-Oxoacid CoA-Transferase 2","Protein Coding","Q9BYC2","40","GC01M039776","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXCT2"
"PSMG3","Proteasome Assembly Chaperone 3","Protein Coding","Q9BT73","40","GC07M001567","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMG3"
"RCC1L","RCC1 Like","Protein Coding","Q96I51","40","GC07M079142","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCC1L"
"RGP1","RGP1 Homolog, RAB6A GEF Complex Partner 1","Protein Coding","Q92546","40","GC09P035749","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGP1"
"RPL7L1","Ribosomal Protein L7 Like 1","Protein Coding","Q6DKI1","40","GC06P156495","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7L1"
"RPP14","Ribonuclease P/MRP Subunit P14","Protein Coding","O95059","40","GC03P061814","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPP14"
"SCAF1","SR-Related CTD Associated Factor 1","Protein Coding","Q9H7N4","40","GC19P133430","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAF1"
"SDAD1","SDA1 Domain Containing 1","Protein Coding","Q9NVU7","40","GC04M075940","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDAD1"
"SNRNP27","Small Nuclear Ribonucleoprotein U4/U6.U5 Subunit 27","Protein Coding","Q8WVK2","40","GC02P069893","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP27"
"SNRNP35","Small Nuclear Ribonucleoprotein U11/U12 Subunit 35","Protein Coding","Q16560","40","GC12P136143","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP35"
"SPPL3","Signal Peptide Peptidase Like 3","Protein Coding","Q8TCT6","40","GC12M124260","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPPL3"
"TEPSIN","TEPSIN Adaptor Related Protein Complex 4 Accessory Protein","Protein Coding","Q96N21","40","GC17M090577","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEPSIN"
"UTP11","UTP11 Small Subunit Processome Component","Protein Coding","Q9Y3A2","40","GC01P061882","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTP11"
"ZNF165","Zinc Finger Protein 165","Protein Coding","P49910","40","GC06P028080","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF165"
"ZNF574","Zinc Finger Protein 574","Protein Coding","Q6ZN55","40","GC19P042068","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF574"
"ZNG1A","Zn Regulated GTPase Metalloprotein Activator 1A","Protein Coding","Q9BRT8","40","GC09M000631","0.969720602035522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNG1A"
